index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
8346,576,10,0,0,586000010,True,1,-57.891387939453125,-39.90129089355469,675.2418823242188,6.990084171295166,1040.435791015625,3223.498046875,0.0020636427216231,0.3071619570255279,0.9516549706459044,3387.2548828125
8347,576,11,0,0,586000011,True,1,199.99420166015625,-36.55329895019531,753.2938842773438,234.601806640625,-655.4630737304688,1561.946044921875,0.1371882855892181,-0.3832956850528717,0.9133804440498352,1709.5883855646766
8348,577,0,0,0,587000000,True,1,-244.5830993652344,81.74270629882812,534.3218994140625,-1670.2337646484375,-2057.7060546875,11362.109375,-0.1431575119495391,-0.1763681769371032,0.9738584756851196,11667.10546875
8349,577,1,0,0,587000001,True,1,103.71395874023438,1.7627105712890625,486.0299072265625,317.3908386230469,-752.8421630859375,3112.230712890625,0.098639540374279,-0.2339702248573303,0.9672271013259888,3217.68359375
8350,577,2,0,0,587000003,True,1,203.50634765625,-136.24929809570312,669.2899169921875,-12.26902961730957,284.8832702636719,385.2309265136719,-0.0255987346172332,0.594395101070404,0.8037656545639038,478.7540234324516
8351,577,3,0,0,587000004,True,1,-20.1094970703125,-52.921295166015625,763.7098999023438,-992.4979248046876,-1015.2268676757812,4154.59912109375,-0.2260561436414718,-0.2312329858541488,0.9462716579437256,4390.4931640625
8353,577,5,0,0,587000006,True,1,-346.72235107421875,-110.95330047607422,430.6018981933594,-70.49336242675781,-1297.751953125,2579.819580078125,-0.024403128772974,-0.4492509067058563,0.893072247505188,2888.26385362404
8354,577,6,0,0,587000007,True,1,1.07977294921875,47.51870727539063,518.325927734375,-78.41050720214844,250.1436462402344,1249.573486328125,-0.0614129528403282,0.1959183812141418,0.9786953330039978,1276.2493027886237
8355,577,7,0,0,587000008,True,1,-303.1871032714844,-215.4853057861328,640.27392578125,196.5508728027344,109.4635772705078,-174.59100341796875,0.6901981830596924,0.38438680768013,-0.6130850315093994,284.266972004522
8358,577,10,0,0,587000011,True,1,90.5548095703125,-121.36930084228516,638.4138793945312,-810.0204467773438,-2634.408447265625,7215.90869140625,-0.1048658415675163,-0.3410524725914001,0.9341768622398376,7724.349609375
8359,577,11,0,0,587000012,True,1,232.68951416015625,-86.40130615234375,784.169921875,-1298.32666015625,-50.869728088378906,4113.9111328125,-0.30094113945961,-0.0117911733686923,0.9535698294639589,4313.522350392
